property_type,sector,bedRoom,bathroom,balcony,agePossession,built_up_area,servant room,store room,furnishing_type,luxury_category,floor_category,price
0,11,3,2,2,3,717,0,0,0,1,2,0.5
0,104,2,2,1,1,767,0,0,0,1,1,0.47
0,96,3,3,2,3,1778,1,0,1,1,2,1.19
0,75,2,2,2,3,1188,0,0,1,2,2,1.51
0,71,2,2,3,4,1676,0,0,0,2,0,2.15
0,41,4,4,4,2,4809,1,0,1,2,0,3.25
0,60,4,4,3,2,1484,0,0,0,2,2,1.5
0,105,2,2,4,0,1271,0,0,0,2,2,0.96
0,12,4,5,3,1,2343,1,0,2,2,0,4.1
1,13,4,4,4,3,5400,0,0,1,2,1,7
1,13,4,5,4,1,3600,1,0,1,1,1,10
1,22,4,4,4,0,3150,0,0,0,1,1,6.5
0,44,3,3,3,4,1629,0,0,0,2,2,1
1,13,4,5,4,3,5400,1,1,0,0,2,5.7
0,76,3,3,4,0,1406,0,0,0,1,1,1
1,93,4,4,3,3,5480,1,1,0,2,1,4.35
0,56,4,5,3,0,3356,1,0,2,1,2,3.6
0,99,2,2,1,1,557,1,0,0,2,1,0.42
0,79,3,3,2,3,1428,0,0,0,2,0,1.4
0,108,2,2,1,1,694,0,0,1,2,0,0.33
0,84,4,4,4,1,4000,1,0,1,0,1,6.75
0,29,2,2,2,3,1533,0,0,0,1,2,2
0,89,3,3,2,0,1900,1,0,0,2,1,0.9
0,104,3,4,4,2,1608,1,0,2,1,1,1.25
1,36,4,2,2,2,1170,0,0,0,1,1,0.75
0,51,4,4,4,3,2398,0,0,1,2,1,2.5
0,64,3,3,2,2,1920,1,0,1,2,2,1.54
0,109,2,2,2,1,733,0,0,0,2,2,0.4
1,56,4,4,3,1,60,0,0,1,1,2,1.6
0,112,2,2,2,3,534,0,0,0,2,2,0.29
0,69,3,4,4,3,2045,1,0,1,0,2,2.85
0,13,3,4,4,1,2339,1,0,0,2,2,2.3
0,16,4,4,3,0,3077,1,0,1,2,2,3.45
0,19,3,3,2,1,1429,0,0,0,2,2,1.93
0,41,2,2,2,1,623,0,0,0,1,2,0.4
1,48,2,2,2,0,61,0,0,0,1,1,0.61
0,5,3,3,4,0,1946,1,0,0,1,2,0.85
0,90,2,2,4,1,1280,0,0,0,2,0,0.71
0,78,2,2,3,3,1130,0,0,1,2,2,1.13
0,77,3,3,2,1,1346,0,1,1,2,2,1.6
0,45,3,3,4,0,1602,0,0,0,1,0,1
1,56,6,6,3,0,2880,1,1,2,0,2,4.45
0,70,3,3,3,1,1137,0,0,0,1,1,1.9
0,6,2,2,3,3,1073,0,0,0,1,1,1.2
0,64,1,2,1,2,678,0,0,0,2,1,0.55
0,112,2,1,3,1,828,0,0,0,2,1,0.54
0,27,2,2,3,0,1416,0,0,0,2,2,1.26
1,53,6,6,4,0,1845,0,1,1,2,2,4.5
0,112,3,3,3,3,1599,0,0,0,0,1,0.91
0,76,3,3,3,0,2047,1,0,2,1,2,2.8
0,87,3,3,3,1,1774,1,0,0,2,1,1.08
0,10,4,6,4,3,1535,1,0,0,0,0,1.5
0,70,2,2,2,4,1278,0,0,0,1,2,1.7
1,29,6,6,4,2,2368,0,1,1,2,1,4.7
0,108,2,2,2,1,632,0,0,1,1,1,0.45
0,12,3,5,2,1,2343,1,0,0,2,0,3.95
0,8,3,2,2,1,848,0,0,0,2,2,0.65
0,22,5,5,2,2,2556,0,1,2,2,1,1.7
0,76,3,3,3,3,2200,1,0,1,1,2,2.99
0,18,4,6,4,0,3662.34,1,0,1,0,0,5.6
0,89,2,2,2,0,1224,0,0,0,1,2,0.7
1,48,3,3,2,2,2250,0,0,0,1,1,3.2
0,35,2,1,1,2,1188,0,0,0,2,1,0.95
0,96,3,3,3,0,1468,0,0,1,2,2,1.05
1,55,4,4,4,0,2700,1,0,0,2,1,6
0,55,3,3,0,3,1923,1,0,0,2,0,2
1,48,2,1,1,0,624,0,1,0,1,1,0.47
0,79,3,3,1,3,1392,0,0,0,2,0,1.38
0,98,2,2,2,3,1075,0,0,0,1,2,0.69
0,16,5,5,2,3,3500,1,0,0,0,2,4.1
1,30,4,4,2,2,3078,0,0,0,1,1,5
0,104,3,3,4,0,2144,1,0,0,2,2,1.2
0,99,3,3,4,3,1548,0,0,1,0,2,1.6
0,44,2,2,3,4,756,0,0,0,2,2,0.4
0,112,2,2,2,3,900,0,0,0,1,1,0.4
0,106,3,4,3,3,1805,1,0,0,1,2,1.55
0,94,2,2,2,3,1294,0,0,1,2,0,0.86
0,96,5,7,4,3,3200,1,0,1,0,0,3.15
0,88,2,2,2,1,1489,0,0,0,2,2,1
0,105,3,3,4,3,1700,0,0,0,2,2,1.4
0,62,4,6,3,3,2826,1,0,2,2,2,11
0,2,2,2,0,4,1300,0,0,0,1,2,0.5
0,6,3,4,4,3,1186,1,0,1,1,0,2.2
0,27,3,4,4,0,1738,1,0,0,2,2,1.5
0,76,4,4,4,3,3160,1,0,1,1,1,4.5
0,18,3,4,4,3,2225.56,1,0,1,0,0,3.65
0,2,2,2,3,0,993,0,0,0,2,2,0.48
1,60,6,5,4,0,3132,0,0,0,1,2,8
0,97,3,3,3,1,1849,1,0,0,2,1,1.5
1,62,4,4,3,1,2844,1,0,0,2,2,3.51
0,90,2,2,3,1,1350,0,0,1,2,2,1.35
0,78,3,2,4,1,1365,0,0,0,1,2,1.45
1,28,3,2,1,2,594,0,0,0,1,1,0.45
0,13,3,3,3,3,1579,0,0,0,2,2,1.68
0,64,3,3,4,0,1810,1,0,1,1,2,1.55
0,88,4,3,3,3,1765,1,0,0,2,2,1.64
0,62,3,4,4,0,1900,1,0,1,2,2,1.75
0,74,3,3,3,1,2267,1,0,0,1,0,2.86
0,27,3,4,4,0,1738,1,0,1,2,2,1.51
1,33,4,5,2,0,3240,1,0,1,2,1,12.5
0,74,2,2,2,3,1358,0,0,0,1,0,1.9
1,57,2,2,1,2,900,0,0,0,1,1,0.8
0,97,3,3,3,3,1652,0,0,0,2,0,0.9
0,96,3,3,3,3,1600,1,0,1,0,2,1.76
1,50,8,5,4,2,3240,1,1,1,1,2,9
0,11,2,2,1,3,598,0,0,0,1,2,0.36
0,106,2,2,1,1,646,0,0,1,1,2,0.45
0,0,3,3,3,1,1357,0,0,0,1,2,2
0,35,1,1,1,2,995,0,0,1,2,1,1
0,111,4,3,4,3,1833,0,0,1,1,2,1.5
0,89,2,2,2,0,1422,0,0,0,2,0,0.69
0,70,3,3,2,4,1630,0,0,0,1,2,2.57
0,97,2,2,0,3,549,0,0,0,1,2,0.39
1,32,5,5,3,0,6400,1,0,1,2,1,15
0,59,2,2,1,3,1007,0,0,0,1,2,0.71
0,90,3,3,3,3,1154,0,0,0,0,0,1.25
1,13,4,4,4,3,5400,1,0,0,2,1,6.25
1,62,4,4,4,0,8036,1,1,0,1,1,25
0,19,3,3,4,1,2006,1,0,0,2,2,2.85
0,8,1,2,2,1,335,0,0,0,2,1,0.22
0,19,4,4,3,4,2353,1,0,1,0,0,3.45
0,104,2,2,1,1,650,0,0,0,1,2,0.5
0,99,3,3,1,3,1750,0,0,1,0,0,1.58
0,97,3,3,2,1,1624,1,1,1,2,1,1.48
0,112,2,2,3,3,978,0,0,0,1,2,0.73
1,57,2,4,2,0,945,0,1,1,1,2,0.96
0,99,3,2,1,1,1529,0,0,0,2,1,1.25
0,11,2,2,2,3,608,0,0,0,1,2,0.35
0,97,2,2,3,3,1457,0,0,1,2,2,1.2
0,18,2,2,3,3,1939.03,0,0,1,0,2,2.5
0,44,3,4,3,3,1660,1,0,0,1,2,0.99
0,74,2,2,2,3,1433,0,0,0,1,0,2
1,65,4,4,2,0,1728,0,1,1,2,2,3.3
0,17,3,4,2,3,2200,1,0,0,2,2,2.58
0,76,3,4,2,3,2200,1,0,1,0,0,3.05
1,4,2,2,2,0,270,0,0,0,1,2,0.34
0,2,3,3,4,0,1900,1,0,0,2,2,0.86
0,81,3,3,4,3,1765,1,0,0,1,2,1.78
0,11,2,2,4,1,1236,0,0,0,2,0,0.8
0,81,3,5,3,3,1527,1,0,0,0,2,1.65
0,41,3,3,4,1,1439,0,0,0,1,1,2.15
0,78,2,2,2,1,1180,0,0,0,1,2,0.84
1,76,5,3,2,1,200,0,0,0,1,1,1.5
1,33,6,8,4,0,4500,1,1,1,2,2,19
0,36,2,2,0,1,1056,0,0,0,2,2,1.35
0,107,2,2,0,3,597,0,0,0,1,2,0.85
0,30,2,2,2,0,706,0,0,0,1,1,0.16
1,32,5,5,4,2,1800,1,1,1,2,2,6.5
1,68,3,2,1,2,612,0,0,0,1,1,0.66
0,112,2,2,3,3,1154,0,0,0,0,2,0.71
0,93,3,3,4,3,1475,0,0,0,2,2,1.4
0,74,3,3,2,1,1654,0,0,0,1,2,2.44
0,81,3,4,3,3,1765,1,1,0,2,0,1.65
0,112,2,2,2,1,640,0,0,0,2,2,0.26
0,6,3,4,4,3,1757,1,0,0,0,0,1.9
0,96,3,3,3,3,1600,1,0,1,0,2,1.72
0,71,2,2,2,1,1365,1,0,0,2,0,2.1
0,94,2,2,2,3,1299,0,0,1,2,0,1
0,81,3,3,2,3,2167,0,0,0,2,2,1.65
1,13,5,5,4,3,2250,1,1,1,2,2,6.15
0,35,3,5,4,2,2590,0,0,0,1,2,3
1,103,4,3,1,2,200,0,0,0,1,1,1.1
0,41,3,2,4,1,1730,0,0,0,1,2,1.55
0,19,3,4,3,3,2150,1,0,0,0,2,3.05
0,89,3,3,3,0,1853,0,0,0,1,2,1.05
1,82,4,4,4,1,2610,0,0,0,1,2,4.7
0,112,2,2,2,1,4986,0,0,0,1,2,2.6
0,86,3,3,3,3,1900,0,0,0,0,2,2.25
0,98,2,2,2,3,1050,0,0,0,0,2,0.55
0,51,3,3,2,2,1467,1,0,2,1,1,2
1,2,3,1,0,0,1337.4,0,0,0,1,2,2
0,104,3,3,3,0,1437,1,0,0,2,0,1.25
1,36,5,3,0,0,1755,0,0,0,1,1,0.68
0,51,3,3,2,2,1294,0,0,1,2,0,2.09
0,17,1,1,1,3,450,0,0,0,1,2,0.36
0,81,4,5,4,3,2172,1,0,1,1,1,2
0,57,1,1,1,3,648,0,0,0,1,2,0.26
0,69,3,3,3,3,2400,1,0,1,0,1,2.82
0,89,3,3,2,3,1730,0,0,1,2,2,0.95
0,55,3,4,3,0,1951,0,0,1,2,2,1.8
0,73,2,2,2,1,1372,0,0,0,1,2,1.4
0,3,4,4,3,0,1607,0,0,0,1,2,0.85
0,11,1,1,0,3,318,0,0,0,2,1,0.25
0,101,2,2,2,3,1300,0,0,0,0,2,0.92
0,104,4,5,2,3,2134,1,0,0,2,2,1.3
0,56,3,3,3,3,1840,0,0,0,1,0,2.23
1,13,5,6,3,3,7000,1,0,1,0,1,12
0,41,3,2,4,1,1409,0,0,0,1,0,1.35
1,51,1,1,0,4,1242,0,0,0,1,1,3.3
0,90,3,3,3,1,1650,1,0,0,2,2,1.85
