,property_type,society,sector,price,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,area_room_ratio
120,house,independent,sector 17,0.32,5664.0,565.0,Built Up area: 565 (52.49 sq.m.),5,1,0,1.0,,Undefined,,565.0,,0,0,0,0,0,0,0,113.0
133,house,sheetla enclave,sector 5,0.96,10000.0,960.0,Plot area 945(87.79 sq.m.),7,4,2,3.0,,Moderately Old,,945.0,,0,0,1,1,0,1,0,137.14285714285714
278,house,independent,sector 12,1.2,14184.0,846.0,Plot area 846(78.6 sq.m.)Built Up area: 846 sq.ft. (78.6 sq.m.),4,4,2,2.0,North,Relatively New,,846.0,,0,0,0,1,0,1,7,211.5
431,house,independent,sector 38,2.1,23333.0,900.0,Plot area 100(83.61 sq.m.),7,7,3+,3.0,North-East,Relatively New,,900.0,,1,0,1,1,0,0,27,128.57142857142858
462,house,independent,sector 55,5.0,44444.0,1125.0,Plot area 125(104.52 sq.m.)Built Up area: 115 sq.yards (96.15 sq.m.)Carpet area: 100 sq.yards (83.61 sq.m.),9,9,3+,5.0,East,New Property,,115.0,100.0,0,0,0,0,1,1,44,125.0
501,house,independent,sector 3,0.92,15257.0,603.0,Built Up area: 603 (56.02 sq.m.),4,1,0,1.0,,Undefined,,603.0,,0,0,0,0,0,0,0,150.75
544,house,independent,sector 12,1.35,12217.0,1105.0,Plot area 150(125.42 sq.m.)Built Up area: 2052 sq.yards (1715.73 sq.m.),5,5,1,3.0,,Old Property,,2052.0,,0,0,0,0,0,0,31,221.0
644,house,independent,sector 7,0.9,10000.0,900.0,Plot area 100(83.61 sq.m.),6,4,3,3.0,North-East,Old Property,,900.0,,0,1,0,0,1,1,44,150.0
677,house,independent,sector 24,4.5,33333.0,1350.0,Plot area 163(136.29 sq.m.)Built Up area: 160 sq.yards (133.78 sq.m.)Carpet area: 150 sq.yards (125.42 sq.m.),10,8,3+,4.0,East,Relatively New,,160.0,150.0,0,1,1,0,0,1,56,135.0
720,house,independent,sector 104,0.6,5128.0,1170.0,Plot area 130(108.7 sq.m.),7,3,1,2.0,North,Moderately Old,,1170.0,,0,0,0,0,0,0,0,167.14285714285714
758,house,iffco nagar and 17b rwa,sector 17,2.98,20566.0,1449.0,Plot area 161(134.62 sq.m.),6,6,3+,3.0,East,Relatively New,,1449.0,,1,0,0,1,0,0,78,241.5
856,house,independent,sector 4,0.65,11111.0,585.0,Plot area 65(54.35 sq.m.),4,2,2,,,Moderately Old,,585.0,,0,0,0,0,0,0,0,146.25
898,house,independent,sector 47,4.3,29312.0,1467.0,Plot area 163(136.29 sq.m.),6,4,2,2.0,,Moderately Old,,1467.0,,0,0,0,0,1,0,0,244.5
908,house,independent,sector 12,0.9,13333.0,675.0,Built Up area: 675 (62.71 sq.m.),4,4,0,2.0,,Undefined,,675.0,,0,0,0,0,0,0,0,168.75
914,house,independent,manesar,1.1,6173.0,1782.0,Plot area 1782(165.55 sq.m.),8,8,0,1.0,,New Property,,1782.0,,0,0,0,0,0,0,0,222.75
921,house,independent,sector 8,0.82,10224.0,802.0,Carpet area: 802 (74.51 sq.m.),4,4,0,2.0,,Undefined,,,802.0,0,0,0,0,0,0,0,200.5
948,house,independent,sector 3,0.8,8155.0,981.0,Plot area 109(91.14 sq.m.),5,4,1,2.0,,Moderately Old,,981.0,,0,0,0,0,0,0,0,196.2
965,house,independent,sector 105,0.55,10913.0,504.0,Built Up area: 56 (5.2 sq.m.),4,4,0,2.0,,Undefined,,56.0,,0,0,0,0,0,0,0,126.0
968,house,rattan vihar rajendra park,dwarka expressway,0.85,14167.0,600.0,Plot area 600(55.74 sq.m.),5,5,3+,4.0,,New Property,,600.0,,0,0,0,0,0,0,0,120.0
990,house,surendra homes dayaindependentd colony,sector 6,0.75,15625.0,480.0,Built Up area: 480 (44.59 sq.m.),4,4,2,1.0,,Undefined,,480.0,,0,0,0,0,0,0,0,120.0
995,house,independent,sohna road road,1.2,22305.0,538.0,Plot area 50,4,4,3+,4.0,West,Old Property,,535.0,,0,0,0,0,0,0,8,134.5
1032,house,independent,sector 7,1.16,11717.0,990.0,Carpet area: 110 (91.97 sq.m.),5,4,2,1.0,North-East,Undefined,,,110.0,0,0,0,0,0,0,0,198.0
1064,house,housing board colony,sector 28,3.5,25926.0,1350.0,Plot area 150(125.42 sq.m.),6,6,3,3.0,,Relatively New,,1350.0,,0,0,0,0,0,0,0,225.0
1088,house,independent,sector 11,0.9,10000.0,900.0,Plot area 900(83.61 sq.m.),7,4,3+,4.0,,Moderately Old,,900.0,,0,0,0,0,0,0,7,128.57142857142858
1094,house,independent,manesar,0.8,6667.0,1200.0,Plot area 1200(111.48 sq.m.),8,8,2,1.0,,Relatively New,,1200.0,,0,0,0,0,0,0,0,150.0
1115,house,housing board colony,sector 28,2.1,23333.0,900.0,Plot area 100(83.61 sq.m.),8,8,3+,4.0,South-East,Moderately Old,,900.0,,0,0,0,0,1,1,38,112.5
1119,house,independent,sector 25,7.6,38756.0,1961.0,Plot area 215(179.77 sq.m.),9,9,3,4.0,East,Relatively New,,1935.0,,1,0,1,1,0,1,84,217.88888888888889
1221,house,independent,sector 12,0.65,6500.0,1000.0,Carpet area: 1000 (92.9 sq.m.),6,2,3,1.0,,Undefined,,,1000.0,0,0,0,0,0,0,0,166.66666666666666
1255,house,sector 38 rwa,sector 38,4.3,28782.0,1494.0,Plot area 166(138.8 sq.m.)Built Up area: 165 sq.yards (137.96 sq.m.)Carpet area: 164 sq.yards (137.12 sq.m.),9,9,3+,3.0,East,Relatively New,,165.0,164.0,0,0,0,1,1,1,41,166.0
1356,house,independent,sector 7,1.16,11694.0,992.0,Plot area 992(92.16 sq.m.)Carpet area: 992 sq.ft. (92.16 sq.m.),5,4,2,3.0,North-East,Moderately Old,,,992.0,0,0,0,0,1,0,39,198.4
1358,house,uppal southend,sector 49,3.75,25562.0,1467.0,Built Up area: 163 (136.29 sq.m.),6,6,3+,3.0,East,Moderately Old,,163.0,,1,0,0,0,0,1,26,244.5
1360,house,unitech south city,sector 50,5.88,27222.0,2160.0,Plot area 240(200.67 sq.m.),9,9,3+,3.0,East,Relatively New,,2160.0,,1,1,0,1,1,2,128,240.0
1405,house,independent,sector 26,6.0,33333.0,1800.0,Plot area 200(167.23 sq.m.),8,5,3+,3.0,,Old Property,,1800.0,,0,0,0,0,0,1,9,225.0
1435,house,huda floor,sector 38,4.0,22222.0,1800.0,Plot area 1800(167.23 sq.m.)Built Up area: 4800 sq.ft. (445.93 sq.m.)Carpet area: 3800 sq.ft. (353.03 sq.m.),9,9,3+,2.0,East,Relatively New,,4800.0,3800.0,0,0,1,1,0,1,152,200.0
1466,house,independent,sector 4,1.1,6111.0,1800.0,Plot area 200(167.23 sq.m.),8,4,3+,2.0,West,Old Property,,1800.0,,0,0,0,0,0,0,7,225.0
1468,house,independent,sector 7,1.2,11194.0,1072.0,Built Up area: 1072 (99.59 sq.m.),5,4,2,3.0,,Undefined,,1072.0,,0,0,0,0,0,0,0,214.4
1577,house,independent,sector 9,1.25,8735.0,1431.0,Plot area 159(132.94 sq.m.),10,6,3+,3.0,,Old Property,,1431.0,,0,0,0,0,0,0,0,143.1
1582,house,prem kunj,sohna road road,0.5,7407.0,675.0,Plot area 675(62.71 sq.m.)Built Up area: 725 sq.ft. (67.35 sq.m.)Carpet area: 675 sq.ft. (62.71 sq.m.),5,4,3,3.0,South-West,Relatively New,,725.0,675.0,0,0,0,1,0,0,22,135.0
1659,house,independent,sector 11,3.5,15556.0,2250.0,Built Up area: 2250 (209.03 sq.m.),10,1,0,1.0,,New Property,,2250.0,,0,0,0,0,0,0,0,225.0
1756,house,independent,sohna road road,0.95,8920.0,1065.0,Plot area 1065(98.94 sq.m.),10,10,3+,3.0,,New Property,,1065.0,,0,0,0,0,0,0,0,106.5
1786,house,independent,sector 4,0.5,9259.0,540.0,Plot area 540(50.17 sq.m.),5,3,2,3.0,West,Old Property,,540.0,,0,0,0,0,0,0,0,108.0
1856,house,independent,sector 105,1.1,12222.0,900.0,Carpet area: 900 (83.61 sq.m.),6,4,1,1.0,South-West,Undefined,,,900.0,0,0,0,0,0,0,0,150.0
1862,house,independent,sector 13,0.9,11465.0,785.0,Plot area 785(72.93 sq.m.),5,4,3,3.0,North-West,Moderately Old,,785.0,,1,1,0,1,1,0,0,157.0
1939,house,independent,sector 6,0.75,10519.0,713.0,Plot area 713(66.24 sq.m.),6,4,1,3.0,,Moderately Old,,713.0,,0,0,0,0,0,0,62,118.83333333333333
2019,house,independent,sector 2,3.65,23443.0,1557.0,Plot area 173(144.65 sq.m.),9,9,3+,3.0,West,New Property,,1557.0,,0,1,0,1,0,1,116,173.0
2031,house,independent,sector 6,1.25,11574.0,1080.0,Plot area 120(100.34 sq.m.)Built Up area: 120 sq.yards (100.34 sq.m.),5,5,1,2.0,South,New Property,,120.0,,0,0,0,1,0,0,0,216.0
2111,house,palam vihar extension west zone rwa,sector 2,0.4,4444.0,900.0,Plot area 900(83.61 sq.m.),6,4,2,2.0,West,Moderately Old,,900.0,,0,0,0,0,0,0,36,150.0
2134,house,shivpuri,sector 7,2.8,12444.0,2250.0,Plot area 2250(209.03 sq.m.),10,7,3,1.0,,Old Property,,2250.0,,1,1,0,1,1,1,0,225.0
2208,house,independent,sector 4,0.8,11852.0,675.0,Plot area 75(62.71 sq.m.),5,3,1,2.0,,Moderately Old,,675.0,,0,0,0,0,0,0,0,135.0
2227,house,independent,sector 3 phase 2,0.85,9444.0,900.0,Carpet area: 900 (83.61 sq.m.),5,3,3,1.0,,Undefined,,,900.0,0,0,0,0,0,0,0,180.0
2246,house,independent,sector 4,1.1,11111.0,990.0,Built Up area: 990 (91.97 sq.m.),6,4,1,2.0,North,Undefined,,990.0,,0,0,0,0,0,0,0,165.0
2302,house,ganpati heights apartment,sector 13,1.25,12077.0,1035.0,Plot area 115(7692.86 sq.m.),10,6,2,3.0,South-East,Old Property,,115.0,,0,0,0,0,1,0,7,103.5
2355,house,independent,sector 12,2.5,13889.0,1800.0,Plot area 1800(167.23 sq.m.),9,5,2,1.0,South-East,Old Property,,1800.0,,0,0,0,1,0,0,8,200.0
2364,house,independent,sector 24,3.5,32407.0,1080.0,Plot area 120(100.34 sq.m.),5,4,3,3.0,North-West,Old Property,,1080.0,,0,0,0,0,0,0,15,216.0
2409,house,independent,sector 47,5.15,26615.0,1935.0,Plot area 215(179.77 sq.m.),9,9,3+,3.0,East,Relatively New,,1935.0,,0,0,1,0,0,1,75,215.0
2421,house,independent,sector 12,6.0,35088.0,1710.0,Plot area 190(17.65 sq.m.)Carpet area: 1600 sq.ft. (148.64 sq.m.),9,6,2,2.0,North-East,Old Property,,,1600.0,0,0,0,0,0,0,0,190.0
2527,house,rattan garden,sector 7,1.3,13499.0,963.0,Built Up area: 963 (89.47 sq.m.),5,3,2,3.0,,Old Property,,963.0,,0,0,0,0,0,0,0,192.6
2541,house,uppal southend,sector 49,3.75,25562.0,1467.0,Plot area 163(136.29 sq.m.),6,6,3,3.0,East,Moderately Old,,1467.0,,0,0,0,0,1,0,49,244.5
2556,house,independent,sector 28,0.7,8102.0,864.0,Plot area 864(80.27 sq.m.),4,2,0,2.0,North,Old Property,,864.0,,0,0,0,0,0,0,7,216.0
2666,house,independent,sector 3 phase 2,1.1,10000.0,1100.0,Built Up area: 1100 (102.19 sq.m.)Carpet area: 900 sq.ft. (83.61 sq.m.),5,4,2,1.0,East,Undefined,,1100.0,900.0,0,0,0,0,0,0,0,220.0
2675,house,iffco nagar and 17b rwa,sector 17,3.5,24306.0,1440.0,Plot area 1440(133.78 sq.m.),6,5,3,3.0,East,Old Property,,1440.0,,0,0,0,0,0,0,44,240.0
2694,house,huda housing board colony,sector 31,4.6,31507.0,1460.0,Plot area 1460(135.64 sq.m.),6,4,3+,3.0,East,Old Property,,1460.0,,0,0,0,0,1,0,8,243.33333333333334
2699,house,sai kripa floors 5,sector 11,0.9,11250.0,800.0,Plot area 800(74.32 sq.m.),5,5,3,3.0,,Relatively New,,800.0,,0,0,0,0,0,0,0,160.0
2706,house,independent,sector 10a,3.6,19608.0,1836.0,Plot area 204(170.57 sq.m.),8,4,3,3.0,North,Moderately Old,,1836.0,,0,0,0,1,0,1,28,229.5
2749,house,independent,sector 47,0.99,17188.0,576.0,Plot area 64(53.51 sq.m.),4,4,3,4.0,,Relatively New,,576.0,,0,0,0,0,0,0,13,144.0
2870,house,independent,sector 17,3.5,24306.0,1440.0,Built Up area: 160 (14.86 sq.m.),6,6,3+,3.0,North-West,Undefined,,160.0,,0,0,0,0,0,0,0,240.0
2874,house,"bhim nagar, sector 6",sector 6,0.85,14096.0,603.0,Plot area 67(6.22 sq.m.),5,2,2,1.0,,Old Property,,67.0,,0,0,0,1,0,0,29,120.6
